input_id,dataset,accession,expected_filename,expected_relative_path,required,source_type,access_status,expected_bytes,expected_sha256,source_page_url,direct_download_url,acquisition_mode,redistributed_in_repository,license_or_terms_note
R3_MAIN_SOFT,R3,GSE249696,GSE249696_family.soft.gz,data/metadata/GSE249696/GSE249696_family.soft.gz,YES,PUBLIC_GEO_INPUT,PUBLIC,8199,0a665b13f9e08152ae069a718ef2d28dd91dd422b32a11a7b7926af150593cd7,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249696,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE249nnn/GSE249696/soft/GSE249696_family.soft.gz,DIRECT_HTTPS,NO,"NCBI GEO public data; NCBI places no restrictions on GEO data use/distribution, but submitter or third-party rights may still apply. Obtain from GEO; this repository does not redistribute the file."
R3_SAMESITE_MATRIX,R3,GSE249694,GSE249694_ext327_rnaseq.txt.gz,data/processed/GSE249694/GSE249694_ext327_rnaseq.txt.gz,YES,PUBLIC_GEO_INPUT,PUBLIC,1196567,055fba2999b0fec2c6591c9f604c29be33c09e6e05ca325ec22ab9bebf93014d,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249694,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE249nnn/GSE249694/suppl/GSE249694_ext327_rnaseq.txt.gz,DIRECT_HTTPS,NO,"NCBI GEO public data; NCBI places no restrictions on GEO data use/distribution, but submitter or third-party rights may still apply. Obtain from GEO; this repository does not redistribute the file."
R3_SAMESITE_SOFT,R3,GSE249694,GSE249694_family.soft.gz,data/metadata/GSE249694/GSE249694_family.soft.gz,YES,PUBLIC_GEO_INPUT,PUBLIC,2975,57da261da2512757f989550a6f28b6056b60c11db932a953ec86a8a1456b332e,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249694,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE249nnn/GSE249694/soft/GSE249694_family.soft.gz,DIRECT_HTTPS,NO,"NCBI GEO public data; NCBI places no restrictions on GEO data use/distribution, but submitter or third-party rights may still apply. Obtain from GEO; this repository does not redistribute the file."
R3_HEALTHY_MATRIX,R3,GSE291508,GSE291508_ext300_rnaseq.txt.gz,data/processed/GSE291508/GSE291508_ext300_rnaseq.txt.gz,YES,PUBLIC_GEO_INPUT,PUBLIC,1466104,24e8be848f9fcdac5b3f9f35d4cd37b3217760e90dde77d2f72d36b2cba32700,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE291508,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE291nnn/GSE291508/suppl/GSE291508_ext300_rnaseq.txt.gz,DIRECT_HTTPS,NO,"NCBI GEO public data; NCBI places no restrictions on GEO data use/distribution, but submitter or third-party rights may still apply. Obtain from GEO; this repository does not redistribute the file."
R3_HEALTHY_SOFT,R3,GSE291508,GSE291508_family.soft.gz,data/metadata/GSE291508/GSE291508_family.soft.gz,YES,PUBLIC_GEO_INPUT,PUBLIC,3948,e9be124fc2794a363243ee1f729f3cc28a9e87a819ad504351935427dc876e08,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE291508,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE291nnn/GSE291508/soft/GSE291508_family.soft.gz,DIRECT_HTTPS,NO,"NCBI GEO public data; NCBI places no restrictions on GEO data use/distribution, but submitter or third-party rights may still apply. Obtain from GEO; this repository does not redistribute the file."
NATURE_SUPP,R3,GSE249696,44161_2025_672_MOESM3_ESM.xlsx,data/authority/GSE249696/44161_2025_672_MOESM3_ESM.xlsx,YES,PUBLIC_PUBLICATION_AUTHORITY,PUBLIC,66100,539413af8cc8c22de6988b47c58764a6d720b98bf9d5b412740782526f66aaac,https://www.nature.com/articles/s44161-025-00672-8,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs44161-025-00672-8/MediaObjects/44161_2025_672_MOESM3_ESM.xlsx,DIRECT_HTTPS,NO,"Nature Cardiovascular Research article/source data are published under CC BY 4.0, subject to third-party material notices. This repository links to the publisher and does not redistribute the file."
NATURE_FIG4,R3,GSE249696,44161_2025_672_MOESM6_ESM.xlsx,data/authority/GSE249696/44161_2025_672_MOESM6_ESM.xlsx,YES,PUBLIC_PUBLICATION_AUTHORITY,PUBLIC,22766007,5ab3d64db1bbffaf8546eb46ac9835a9d764c09c1e3916aa123c659db76b4f32,https://www.nature.com/articles/s44161-025-00672-8,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs44161-025-00672-8/MediaObjects/44161_2025_672_MOESM6_ESM.xlsx,DIRECT_HTTPS,NO,"Nature Cardiovascular Research article/source data are published under CC BY 4.0, subject to third-party material notices. This repository links to the publisher and does not redistribute the file."
NATURE_FIG5,R3,GSE249696,44161_2025_672_MOESM7_ESM.xlsx,data/authority/GSE249696/44161_2025_672_MOESM7_ESM.xlsx,YES,PUBLIC_PUBLICATION_AUTHORITY,PUBLIC,21579215,99fd946dca8c084b9a1d9919ec301347bcd5518cf643483e056813c81e05f2fb,https://www.nature.com/articles/s44161-025-00672-8,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs44161-025-00672-8/MediaObjects/44161_2025_672_MOESM7_ESM.xlsx,DIRECT_HTTPS,NO,"Nature Cardiovascular Research article/source data are published under CC BY 4.0, subject to third-party material notices. This repository links to the publisher and does not redistribute the file."
NATURE_ED4,R3,GSE249696,44161_2025_672_MOESM12_ESM.xlsx,data/authority/GSE249696/44161_2025_672_MOESM12_ESM.xlsx,YES,PUBLIC_PUBLICATION_AUTHORITY,PUBLIC,15823845,37661b000b8c70e5c720e17b52e62cab4d726f744e3b8167ed682d401b77b218,https://www.nature.com/articles/s44161-025-00672-8,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs44161-025-00672-8/MediaObjects/44161_2025_672_MOESM12_ESM.xlsx,DIRECT_HTTPS,NO,"Nature Cardiovascular Research article/source data are published under CC BY 4.0, subject to third-party material notices. This repository links to the publisher and does not redistribute the file."
R3_SNRNA_PROCESSED_RDS,SCIENCE_R3_LOCALIZATION,GSE345646,GSE345646_snRV_ref.rds,data/raw/GSE345646/GSE345646_snRV_ref.rds,YES,APPROVED_OFFICIAL_PROCESSED_SOURCE_AUTHORITY,PUBLIC,3381735778,a5b6b452566bac584c2d62180ef36a360d8e83e64451fb9de7d46779da64bfb1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE345646,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE345nnn/GSE345646/suppl/GSE345646_snRV_ref.rds,DIRECT_HTTPS,NO,"NCBI GEO public data; NCBI places no restrictions on GEO data use/distribution, but submitter or third-party rights may still apply. Obtain from GEO; this repository does not redistribute the file."
R3_XENIUM_PROCESSED_RDS,SCIENCE_R3_LOCALIZATION,GSE345643,GSE345643_RV_Xenium_ambient_corrected_568651cells.rds,data/raw/GSE345643/GSE345643_RV_Xenium_ambient_corrected_568651cells.rds,YES,APPROVED_OFFICIAL_PROCESSED_SOURCE_AUTHORITY,PUBLIC,170494043,afe397aed68d0b5fa4cf683c1702b86f990df73c14f1e7f82e38c9f61c255a9a,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE345643,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE345nnn/GSE345643/suppl/GSE345643_RV_Xenium_ambient_corrected_568651cells.rds,DIRECT_HTTPS,NO,"NCBI GEO public data; NCBI places no restrictions on GEO data use/distribution, but submitter or third-party rights may still apply. Obtain from GEO; this repository does not redistribute the file."
R3_HALLMARK_GMT_2026_1_HS,SCIENCE_R3_PROGRAM_LOCALIZATION,UNKNOWN,h.all.v2026.1.Hs.symbols.gmt,data/authority/MSigDB/h.all.v2026.1.Hs.symbols.gmt,YES,PUBLIC_FROZEN_REFERENCE_AUTHORITY,PUBLIC,48686,eecaf6dad908334ae885406ec72bdc0646d8917588ed7c219fac92fc5363f596,https://www.gsea-msigdb.org/gsea/msigdb/collections.jsp,MANUAL_LOGIN_REQUIRED,MANUAL_MSIGDB_LOGIN,NO,"MSigDB v2026.1.Hs is covered by the current MSigDB license framework (CC BY 4.0 for v2022.1 and above, with additional terms for some gene sets). Registration/login is required for download. This repository does not redistribute the GMT."
