"sequence","full94_sequence","node_id","segment","layer","engine","public_relative_path","effective_sha256","expected_exit","transition_policy","required_postcondition","public_scope"
"14","14","C0278","UPSTREAM_PRE_GATE9K_32","SCIENCE_R1","R","code/stages/SCIENCE_R1/C0278__C0278__02_GSE240921_primary_model_fit_LOCAL_RUN.R","4608adb79805e1f2b14afbcf3ddfcfbff8c5aebc937e76fb9324f510d5d38361","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"15","15","C0279","UPSTREAM_PRE_GATE9K_32","SCIENCE_R1","R","code/stages/SCIENCE_R1/C0279__C0279__03A_GSE240921_primary_replication_LOCAL_RUN.R","00d3d1605d97e91379565c574848499fdb7a78ebfc569a465075ee56b8ed6685","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"16","16","C0280","UPSTREAM_PRE_GATE9K_32","SCIENCE_R1","R","code/stages/SCIENCE_R1/C0280__C0280__03B_GSE240921_ashr_effect_size_LOCAL_RUN.R","f04724b524e542f117c68fa3bed3951d241eb17f57204e673d631615a8f84aa9","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"17","17","C0281","UPSTREAM_PRE_GATE9K_32","SCIENCE_R1","R","code/stages/SCIENCE_R1/C0281__C0281__03C_GSE240921_sex_sensitivity_LOCAL_RUN.R","2097f2b7b1591bea17c721c68834cb34bdff79efc2d6e4be98651b22ed1b95cd","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"18","18","C0283","UPSTREAM_PRE_GATE9K_32","SCIENCE_R1","R","code/stages/SCIENCE_R1/C0283__C0283__03D_GSE240921_terminal_freeze_LOCAL_RUN_REPAIRED.R","2d07429235814890f4808fdc876f9eee2d236142decb9030c64112185c654604","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"19","19","C0284","UPSTREAM_PRE_GATE9K_32","SCIENCE_R2","R","code/stages/SCIENCE_R2/C0284__C0284__00_GSE198618_supporting_preflight_LOCAL_RUN.R","5640194a165e22baaefb2b3ad98553a751063d6806a3e6270957b046eb1968ed","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"20","20","C0285","UPSTREAM_PRE_GATE9K_32","SCIENCE_R2","R","code/stages/SCIENCE_R2/C0285__C0285__01_GSE198618_model_contract_prefit_LOCAL_RUN.R","ad03d264670daf5185a75acd43bacc4dde3baae53d32c2134f33a5016ca1e164","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"21","21","C0286","UPSTREAM_PRE_GATE9K_32","SCIENCE_R2","R","code/stages/SCIENCE_R2/C0286__C0286__02_GSE198618_limma_support_LOCAL_RUN.R","b0ef73ffd49c16c27e98585dc7867d850a1c0d3e1224ffad5c7c39834f139f6c","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"22","22","C0287","UPSTREAM_PRE_GATE9K_32","SCIENCE_R2","R","code/stages/SCIENCE_R2/C0287__C0287__03_GSE198618_terminal_freeze_LOCAL_RUN.R","123648f5210f48de5c234aa6ad9334fe60df1a1d5986d550a800e0d07e5a572e","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"23","23","C0288","UPSTREAM_PRE_GATE9K_32","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0288__C0288__00_GSE249696_unloading_preflight_LOCAL_RUN.R","a81e65508790df5fa01198a7c16dc5fc9af733836df3b196ac601e7dbb1a47b7","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"24","24","C0289","UPSTREAM_PRE_GATE9K_32","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0289__C0289__00B_GSE249696_authority_reconciliation_LOCAL_RUN.R","bd758d61b301da0217b9f93269e2dfcf2cfeeb1e7a7cca0210c3a87964691e8c","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"25","25","C0290","UPSTREAM_PRE_GATE9K_32","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0290__C0290__00C_GSE249694_GSE291508_site_control_preflight_LOCAL_RUN.R","9f31933d4a13bd8e5d85689bea7fa287e3d54025fe77ce9a61920bfd6269e721","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"26","26","C0291","UPSTREAM_PRE_GATE9K_32","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0291__C0291__01A_GSE249696_FIG5_source_authority_discovery_LOCAL_RUN.R","3806dc7069de9b2defc6c59f5ba5618455ac391ee23f4c73a510e5a0318f3322","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"27","27","C0292","UPSTREAM_PRE_GATE9K_32","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0292__C0292__01B_GSE249696_FIG5_source_authority_freeze_LOCAL_RUN.R","bd5c54b655f2e317d39740bd2b0679097d130b20999a0d1c8928d80cfae1082d","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"28","28","C0293","UPSTREAM_PRE_GATE9K_32","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0293__C0293__01C_GSE249696_FIG4_ED4_source_discovery_LOCAL_RUN.R","2e10717eb705464e38c3ba141853371c37b7ee73a151bd32576f72ce74840367","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"29","29","C0294","UPSTREAM_PRE_GATE9K_32","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0294__C0294__01D_GSE249696_FIG4_ED4_source_authority_freeze_LOCAL_RUN.R","f9312d958fbe47c63ada827d1f3d9fdbf2d33499cc8a4cdea263fe1cc549da75","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"30","30","C0295","UPSTREAM_PRE_GATE9K_32","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0295__C0295__01E_R3_classification_contract_freeze_LOCAL_RUN.R","8a5b7e4827ba445cca710d14b2098d6538a446353d9ebd9320a4438f3a115e61","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"31","31","C0296","UPSTREAM_PRE_GATE9K_32","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0296__C0296__02_R3_execute_core_gene_classification_LOCAL_RUN.R","1991d1d4d7cbe4896cfbee674bdf85c1281678dbe7406e4278517e74d717fb35","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"32","32","C0299","UPSTREAM_PRE_GATE9K_32","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0299__C0299__03A_R3_program_input_preflight_LOCAL_RUN_V1_2.R","de39a4d24e0a26509f118a8598e101bab839e010d5ab58d40c6bb350e89f1b5b","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"33","33","C0301","DOWNSTREAM_GATE9K_62","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0301__C0301__03B_R3_program_analysis_contract_freeze_LOCAL_RUN_V1_1.R","1869abcc5af7ce7d4a121bb1d3f4ae1c1234598a769cc551e4724773a15692da","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"34","34","C0302","DOWNSTREAM_GATE9K_62","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0302__C0302__03C_R3_HALLMARK_fgsea_source_identity_freeze_LOCAL_RUN.R","1fdff951e90762a06ac04e51d2b0bc382d3c1116902cf70afaa127a6e612d56f","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"35","35","C0304","DOWNSTREAM_GATE9K_62","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0304__C0304__03D_R3_deterministic_program_execution_LOCAL_RUN_V1_1.R","01fa0ff7bfa3c659e35355531ce683843e3bde1819f8baf58ac716ad9b302b65","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"36","36","C0305","DOWNSTREAM_GATE9K_62","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0305__C0305__03E_R3_tie_order_robustness_validation_LOCAL_RUN.R","1cc57778e25a4dfcec6b52bcb80f3083e8ae622a45b49cabf5cbbfbd8e09d3cd","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"37","37","C0307","DOWNSTREAM_GATE9K_62","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0307__C0307__03F_R3_program_analysis_terminal_freeze_LOCAL_RUN_V1_1.R","38d562bf4b5c92188e0c952c4fe4b6967d08cdae95a711ca03dfccbec71e1b46","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"38","38","C0308","DOWNSTREAM_GATE9K_62","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0308__C0308__04A_R3_localization_target_freeze_LOCAL_RUN.R","f6ab84f3946bf1229cf07d5d948d86b61595d645f0bf9b668ce298947d121e7c","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"39","39","GATE9G_CANONICAL_STEP4B","DOWNSTREAM_GATE9K_62","SCIENCE_R3","R","code/stages/SCIENCE_R3/GATE9G_CANONICAL_STEP4B__27C_RV_PUBLIC_R3_STEP4B_CANONICAL_STRUCTURAL_PREFLIGHT_V1_1.R","d674b8a2b0e3dc9f5c0ef4f6d4e9da0349c6e3b1a4d8ef1ffe033e88a79d184c","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"40","40","C0317","DOWNSTREAM_GATE9K_62","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0317__C0317__04C_R3_annotation_relationship_discovery_LOCAL_RUN_V1_1.R","8bc666cf40ec19d2a5ca9878e5816bb873d696bc4043f6c66c51337a57abd90c","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"41","41","C0319","DOWNSTREAM_GATE9K_62","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0319__C0319__04C_R3_final_annotation_authority_adjudication_LOCAL_RUN_V1_2.R","753b921a0ed6810d60d4a396efc4b04b98ff877db206a9a98e6db2288d25d19d","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"42","42","C0320","DOWNSTREAM_GATE9K_62","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0320__C0320__04D_R3_localization_analysis_contract_freeze_LOCAL_RUN.R","168ed4d54cbf4bb55010bc3e46ba32f9ff2dcfa74f599d8262fb30bacc86925c","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"43","43","C0323","DOWNSTREAM_GATE9K_62","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0323__C0323__04D_V1_3_R3_localization_deterministic_overlay_COMPLETENESS_REPAIR_LOCAL_RUN.R","ad6b93b64c14b1895054ae74053ee22b91a6c3a6641d5db995d5549d314f1b79","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"44","44","C0328","DOWNSTREAM_GATE9K_62","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0328__C0328__04E_R3_localization_runtime_design_feasibility_PREFLIGHT_LOCAL_RUN.R","9731930443160e6c3099ec12cb8fac464f147c9f6fbb262dd4b68aaad0ce050e","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"45","45","C0329","DOWNSTREAM_GATE9K_62","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0329__C0329__04F_PRE1_R3_snRNA_count_layer_semantics_adjudication_LOCAL_RUN.R","18bc66e3d1deba13cfad90365cbb3c30737dd1ca9f98a5afa82d796283f5581f","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"46","46","C0324","DOWNSTREAM_GATE9K_62","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0324__C0324__04D_V1_4_R3_snRNA_source_semantics_overlay_FREEZE_LOCAL_RUN.R","9d4936844f9e05e625bf688b8aaa5696601ac4d2bdefc0b94c0382c115b093d6","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"47","47","C0331","DOWNSTREAM_GATE9K_62","SCIENCE_R3","R","code/stages/SCIENCE_R3/C0331__C0331__04F_V1_1_R3_deterministic_localization_execution_LOCAL_RUN.R","ee619de155fe33c92cadfda1bcf838406f178de57ac4fac5e5d1546344abc0c9","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"48","53","C0345","DOWNSTREAM_GATE9K_62","SCIENCE_R4","R","code/stages/SCIENCE_R4/C0345__C0345__06A_R4A_STEP0_V1_2_CTEPH_SEVERITY_PREFLIGHT_LOCAL_RUN.R","f7193d6d4bc3b5523b0bba3b8b07057101778775d8c622f9cad653d672b26d0a","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"49","54","C0346","DOWNSTREAM_GATE9K_62","SCIENCE_R4","R","code/stages/SCIENCE_R4/C0346__C0346__06B_R4A_STEP1_CTEPH_SEVERITY_METHOD_CONTRACT_LOCAL_RUN.R","ed016dce9aec10439a97beaa46c67c323ae70549d43d7be898dc34610d52d794","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"50","55","C0347","DOWNSTREAM_GATE9K_62","SCIENCE_R4","R","code/stages/SCIENCE_R4/C0347__C0347__06C_R4A_STEP2_CTEPH_SEVERITY_DETERMINISTIC_EXECUTION_LOCAL_RUN.R","1a158dd835bcfcfbf1e69f8fbfee10f298eee202d028ae41d7199f81e80ee87d","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"51","56","C0348","DOWNSTREAM_GATE9K_62","SCIENCE_R4","R","code/stages/SCIENCE_R4/C0348__C0348__06D_R4A_STEP3_CTEPH_SEVERITY_POSTGEN_VALIDATION_AND_CLOSURE_LOCAL_RUN.R","1c662997b5bfbd810a711dd0715840571b0447956e8d8d97789d08ba78722bb9","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"52","57","C0349","DOWNSTREAM_GATE9K_62","SCIENCE_R4","R","code/stages/SCIENCE_R4/C0349__C0349__07A_R4B_STEP0_PEA_PATIENT_TRAJECTORY_PREFLIGHT_LOCAL_RUN.R","b1dddddd26d6e422049d476b120cd9e79539f71b58746da4c56e6ea0979c8855","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"53","58","C0350","DOWNSTREAM_GATE9K_62","SCIENCE_R4","R","code/stages/SCIENCE_R4/C0350__C0350__07B_R4B_STEP1_PEA_PATIENT_TRAJECTORY_METHOD_CONTRACT_LOCAL_RUN.R","70c02e6da05fc0c49e7ad841e7aa833c5e1325052d6d8f3a6da83ede17bdaf2c","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"54","59","C0351","DOWNSTREAM_GATE9K_62","SCIENCE_R4","R","code/stages/SCIENCE_R4/C0351__C0351__07C_R4B_STEP2_PEA_PATIENT_TRAJECTORY_DETERMINISTIC_EXECUTION_LOCAL_RUN.R","f18358e16167c2e7cda2fc5109fbfbab93bad0091b9dc7403eb7a8e4c42ea9c0","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"55","60","C0352","DOWNSTREAM_GATE9K_62","SCIENCE_R4","R","code/stages/SCIENCE_R4/C0352__C0352__07D_R4B_STEP3_PEA_PATIENT_TRAJECTORY_POSTGEN_VALIDATION_AND_CLOSURE_LOCAL_RUN.R","860cbfe973453245e726b5e151a329d1068b2f1166340f218969d3cbe1bc56fb","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"56","61","C0355","DOWNSTREAM_GATE9K_62","SCIENCE_R4","R","code/stages/SCIENCE_R4/C0355__C0355__08A_R4C_STEP0_V1_2_R0_NF_PRV_RVF_PROGRESSION_PREFLIGHT_LOCAL_RUN.R","f74c6f12571a607bc710c69a23a3b2b2122bcd6a30398d41afb70bf93b92c7e2","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"57","62","C0358","DOWNSTREAM_GATE9K_62","SCIENCE_R4","R","code/stages/SCIENCE_R4/C0358__C0358__08B_R4C_STEP1_V1_2_R0_NF_PRV_RVF_PROGRESSION_METHOD_CONTRACT_LOCAL_RUN.R","a32f3f16b00c726de804446d7e36a58d0c2a93f296fc34b6c8c4a9eb6db9d1f5","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"58","63","C0359","DOWNSTREAM_GATE9K_62","SCIENCE_R4","R","code/stages/SCIENCE_R4/C0359__C0359__08C_R4C_STEP2_R0_NF_PRV_RVF_PROGRESSION_DETERMINISTIC_EXECUTION_LOCAL_RUN.R","9f01ecf0b2c9bd7194d4a2e02c09a72de5d2c2fb892a0db9bae032ad81687446","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
"59","64","C0360","DOWNSTREAM_GATE9K_62","SCIENCE_R4","R","code/stages/SCIENCE_R4/C0360__C0360__08D_R4C_STEP3_R0_NF_PRV_RVF_PROGRESSION_POSTGEN_VALIDATION_AND_CLOSURE_LOCAL_RUN.R","30d21ea03e82f5c2e4a7eeb989a615cd447f432e36daa966d769350f5672db7e","0","REQUIRE_EXIT0","NONE","PUBLIC_CORE_SCIENCE"
